ID,Gender,Education,Raw_Income,Total_Spend,Avg_Visits,Review_Text,Clean_Income,Spend_per_Visit,Review_Word_Count,Sentiment_Score,User_Segment
27,Male,Masters,"$59,000",716.72,13,My opinion: it is disappointing (Ref:27-399).,59000.0,55.13230769230769,6,-0.6,2
28,Male,Bachelors,"$109,000",807.73,21,My friends also agree that it is as described (Ref:28-459).,109000.0,38.46333333333333,10,0.0,0
29,Male,Masters,"$20,000",235.0,5,Just the facts: it is a normal one (Ref:29-241).,20000.0,47.0,9,0.15,1
30,Female,Bachelors,"$20,000",57.27,1,I felt it was buggy (Ref:30-312).,20000.0,57.27,6,0.0,1
31,Male,High School,"$86,000",712.56,15,My experience with this: a normal one (Ref:31-449).,86000.0,47.504,8,0.15,0
32,Male,Bachelors,20000,218.21,9,"This is as described, you get what you pay for (Ref:32-384).",20000.0,24.245555555555555,11,0.0,1
33,Other,High School,98000,811.19,18,"I believe the price is reasonablen, the product: as it is (Ref:33-906).",98000.0,45.06611111111111,12,0.0,0
34,Female,Bachelors,"$20,000",818.63,15,My friends also agree that it is as it is (Ref:34-248).,20000.0,54.57533333333333,11,0.0,2
35,Female,Masters,"$20,000",107.37,4,I felt it was expensive (Ref:35-571).,20000.0,26.8425,6,-0.5,1
36,Male,High School,20000,240.07,4,My friends also agree that it is expensive (Ref:36-269).,20000.0,60.0175,9,-0.5,1
37,Female,Bachelors,20000,669.34,17,My opinion: it is as it is (Ref:37-635).,20000.0,39.37294117647059,8,0.0,2
38,Female,Bachelors,64000,50.0,1,My opinion: it is buggy (Ref:38-366).,64000.0,50.0,6,0.0,1
39,Male,Masters,20000,110.31,1,"This is buggy, you get what you pay for (Ref:39-736).",20000.0,110.31,10,0.0,1
40,Female,Masters,20000,553.79,21,"I believe the price is reasonablen, the product: as described (Ref:40-984).",20000.0,26.370952380952378,11,0.0,2
41,Other,High School,"$20,000",120.36,7,My experience with this: buggy (Ref:41-978).,20000.0,17.194285714285716,6,0.0,1
42,Female,Bachelors,"$149,000",1024.18,23,"I thought the price was high, and I think it is lovely (Ref:42-899).",149000.0,44.52956521739131,13,0.33,0
43,Male,Bachelors,83000,515.09,12,I felt it was lovely (Ref:43-280).,83000.0,42.92416666666667,6,0.5,0
44,Female,Bachelors,"$134,000",478.96,12,My friends also agree that it is average (Ref:44-906).,134000.0,39.913333333333334,9,-0.15,0
45,Male,Bachelors,20000,417.51,11,My friends also agree that it is bad (Ref:45-382).,20000.0,37.95545454545454,9,-0.6999999999999998,1
46,Male,Bachelors,20000,151.49,4,I felt it was as described (Ref:46-965).,20000.0,37.8725,7,0.0,1
47,Female,Bachelors,"$20,000",202.11,5,"This is terrible, you get what you pay for (Ref:47-412).",20000.0,40.422000000000004,10,-1.0,1
48,Male,Bachelors,109000,602.25,10,My friends also agree that it is disappointing (Ref:48-230).,109000.0,60.225,9,-0.6,0
49,Male,Masters,"$135,000",384.92,7,My opinion: it is bad (Ref:49-939).,135000.0,54.98857142857143,6,-0.6999999999999998,0
50,Male,Bachelors,20000,296.66,8,"I believe the price is reasonablen, the product: terrible (Ref:50-704).",20000.0,37.0825,10,-1.0,1
51,Male,Bachelors,24000,210.34,8,"I believe the price is reasonablen, the product: bad (Ref:51-309).",24000.0,26.2925,10,-0.6999999999999998,1
52,Female,Bachelors,"$20,000",134.63,4,"I thought the price was high, and I think it is a normal one (Ref:52-434).",20000.0,33.6575,15,0.155,1
53,Male,Bachelors,27000,49.72,4,My friends also agree that it is disappointing (Ref:53-547).,27000.0,12.43,9,-0.6,1
54,Male,High School,143000,532.42,18,My friends also agree that it is functional (Ref:54-945).,143000.0,29.578888888888887,9,0.0,0
55,Female,Masters,"$90,000",650.84,19,My experience with this: functional (Ref:55-879).,90000.0,34.25473684210527,6,0.0,0
56,Male,Masters,"$96,000",206.82,3,"I thought the price was high, and I think it is a normal one (Ref:56-488).",96000.0,68.94,15,0.155,1
57,Female,Bachelors,63000,954.85,20,"This is functional, you get what you pay for (Ref:57-348).",63000.0,47.7425,10,0.0,2
58,Male,Masters,46000,851.36,22,Just the facts: it is as described (Ref:58-781).,46000.0,38.698181818181816,8,0.0,2
59,Female,Bachelors,"$46,000",817.44,24,Just the facts: it is wonderful (Ref:59-535).,46000.0,34.06,7,1.0,2
60,Female,Bachelors,63000,652.13,16,My opinion: it is lovely (Ref:60-362).,63000.0,40.758125,6,0.5,2
61,Male,Masters,"$35,000",151.65,1,"I thought the price was high, and I think it is frustrating (Ref:61-614).",35000.0,151.65,13,-0.12000000000000001,1
62,Male,High School,20000,248.47,2,My friends also agree that it is slow (Ref:62-364).,20000.0,124.235,9,-0.30000000000000004,1
63,Female,Bachelors,"$20,000",1014.35,22,My friends also agree that it is frustrating (Ref:63-460).,20000.0,46.106818181818184,9,-0.4,2
64,Male,Masters,34000,718.2,22,"I believe the price is reasonablen, the product: terrible (Ref:64-660).",34000.0,32.64545454545455,10,-1.0,2
65,Male,Bachelors,71000,378.68,8,My friends also agree that it is average (Ref:65-291).,71000.0,47.335,9,-0.15,1
66,Female,Bachelors,67000,643.33,13,I felt it was bad (Ref:66-843).,67000.0,49.48692307692308,6,-0.6999999999999998,2
67,Female,Bachelors,44000,27.38,3,My opinion: it is bad (Ref:67-552).,44000.0,9.126666666666667,6,-0.6999999999999998,1
68,Female,Bachelors,"$86,000",833.51,24,"I thought the price was high, and I think it is slow (Ref:68-696).",86000.0,34.72958333333333,13,-0.07000000000000002,0
69,Female,Masters,68000,456.14,9,My friends also agree that it is as described (Ref:69-538).,68000.0,50.68222222222222,10,0.0,2
70,Female,Bachelors,20000,343.78,7,"I thought the price was high, and I think it is terrible (Ref:70-697).",20000.0,49.11142857142857,13,-0.42,1
71,Female,High School,"$109,000",359.56,14,My experience with this: as it is (Ref:71-790).,109000.0,25.68285714285714,8,0.0,0
72,Male,Masters,32000,532.27,12,I felt it was the best (Ref:72-285).,32000.0,44.35583333333333,7,1.0,2
73,Male,Bachelors,"$82,000",641.14,20,My opinion: it is frustrating (Ref:73-438).,82000.0,32.057,6,-0.4,0
74,Female,Masters,"$37,000",82.75,3,My friends also agree that it is bad (Ref:74-160).,37000.0,27.583333333333332,9,-0.6999999999999998,1
75,Male,Masters,"$30,000",617.4,15,"I believe the price is reasonablen, the product: as described (Ref:75-778).",30000.0,41.16,11,0.0,2
76,Male,Bachelors,"$111,000",907.46,22,"I thought the price was high, and I think it is terrible (Ref:76-593).",111000.0,41.24818181818182,13,-0.42,0
77,Female,Bachelors,20000,50.0,11,"I thought the price was high, and I think it is average (Ref:77-827).",20000.0,4.545454545454546,13,0.0050000000000000044,1
78,Male,Bachelors,"$50,000",858.88,19,Just the facts: it is disappointing (Ref:78-856).,50000.0,45.20421052631579,7,-0.6,2
79,Female,Bachelors,20000,876.36,23,My friends also agree that it is slow (Ref:79-699).,20000.0,38.10260869565217,9,-0.30000000000000004,2
80,Female,Masters,88000,143.22,6,I felt it was disappointing (Ref:80-271).,88000.0,23.87,6,-0.6,1
81,Female,Bachelors,"$20,000",602.28,14,My experience with this: amazing (Ref:81-607).,20000.0,43.019999999999996,6,0.6000000000000001,2
82,Female,Masters,20000,503.19,14,My experience with this: bad (Ref:82-626).,20000.0,35.942142857142855,6,-0.6999999999999998,2
83,Female,Bachelors,73000,412.09,16,"I believe the price is reasonablen, the product: a normal one (Ref:83-659).",73000.0,25.755625,12,0.15,1
84,Male,Bachelors,68000,877.51,21,"This is a normal one, you get what you pay for (Ref:84-340).",68000.0,41.78619047619048,12,0.15,2
85,Male,Bachelors,"$20,000",489.79,15,"I believe the price is reasonablen, the product: disappointing (Ref:85-486).",20000.0,32.65266666666667,10,-0.6,2
86,Female,Bachelors,20000,153.14,7,My friends also agree that it is frustrating (Ref:86-218).,20000.0,21.877142857142854,9,-0.4,1
87,Male,Bachelors,"$20,000",342.94,12,My friends also agree that it is expensive (Ref:87-500).,20000.0,28.578333333333333,9,-0.5,1
88,Other,Bachelors,"$97,000",686.72,23,"This is expensive, you get what you pay for (Ref:88-795).",97000.0,29.85739130434783,10,-0.5,0
89,Female,Bachelors,"$132,000",835.97,17,My opinion: it is disappointing (Ref:89-515).,132000.0,49.174705882352946,6,-0.6,0
90,Female,Masters,"$74,000",464.14,16,Just the facts: it is average (Ref:90-976).,74000.0,29.00875,7,-0.15,0
91,Male,Bachelors,"$48,000",390.31,10,My friends also agree that it is as described (Ref:91-833).,48000.0,39.031,10,0.0,1
92,Female,Bachelors,20000,773.8,20,"I thought the price was high, and I think it is frustrating (Ref:92-295).",20000.0,38.69,13,-0.12000000000000001,2
93,Male,Bachelors,"$43,000",627.07,18,"This is slow, you get what you pay for (Ref:93-115).",43000.0,34.83722222222222,10,-0.30000000000000004,2
94,Female,Bachelors,20000,148.54,1,Just the facts: it is a normal one (Ref:94-723).,20000.0,148.54,9,0.15,1
95,Male,Bachelors,50000,458.14,14,"This is expensive, you get what you pay for (Ref:95-515).",50000.0,32.72428571428571,10,-0.5,1
96,Male,Bachelors,"$35,000",552.14,16,"I thought the price was high, and I think it is a normal one (Ref:96-288).",35000.0,34.50875,15,0.155,2
97,Female,High School,"$30,000",793.44,21,Just the facts: it is buggy (Ref:97-943).,30000.0,37.78285714285715,7,0.0,2
98,Female,Masters,"$20,000",387.93,8,Just the facts: it is slow (Ref:98-797).,20000.0,48.49125,7,-0.30000000000000004,1
99,Male,Bachelors,20000,50.0,3,My opinion: it is buggy (Ref:99-333).,20000.0,16.666666666666668,6,0.0,1
100,Female,Bachelors,"$42,000",290.55,4,"This is a normal one, you get what you pay for (Ref:100-723).",42000.0,72.6375,12,0.15,1
101,Male,Bachelors,72000,50.0,1,"I believe the price is reasonablen, the product: average (Ref:101-863).",72000.0,50.0,10,-0.15,1
102,Female,Masters,"$58,000",716.49,17,My opinion: it is frustrating (Ref:102-268).,58000.0,42.146470588235296,6,-0.4,2
103,Female,High School,"$20,000",95.53,1,I felt it was terrible (Ref:103-257).,20000.0,95.53,6,-1.0,1
104,Male,Bachelors,"$89,000",378.54,10,I felt it was expensive (Ref:104-437).,89000.0,37.854,6,-0.5,0
105,Female,Bachelors,"$41,000",303.6,5,Just the facts: it is slow (Ref:105-531).,41000.0,60.720000000000006,7,-0.30000000000000004,1
106,Female,Bachelors,"$32,000",302.74,7,I felt it was expensive (Ref:106-826).,32000.0,43.24857142857143,6,-0.5,1
107,Male,Masters,37000,285.94,7,"This is disappointing, you get what you pay for (Ref:107-388).",37000.0,40.848571428571425,10,-0.6,1
108,Female,Bachelors,68000,552.87,18,"This is fantastic, you get what you pay for (Ref:108-925).",68000.0,30.715,10,0.4,2
109,Female,Masters,20000,420.45,14,"This is a normal one, you get what you pay for (Ref:109-754).",20000.0,30.032142857142855,12,0.15,1
110,Other,Masters,"$20,000",518.24,11,My experience with this: disappointing (Ref:110-400).,20000.0,47.11272727272728,6,-0.6,2
111,Male,Bachelors,"$20,000",683.46,22,"This is as it is, you get what you pay for (Ref:111-899).",20000.0,31.066363636363636,12,0.0,2
112,Male,Bachelors,"$126,000",939.17,20,"I thought the price was high, and I think it is a normal one (Ref:112-916).",126000.0,46.9585,15,0.155,0
113,Female,Masters,139000,844.06,21,Just the facts: it is amazing (Ref:113-964).,139000.0,40.19333333333333,7,0.6000000000000001,0
114,Female,Bachelors,"$20,000",373.64,10,I felt it was frustrating (Ref:114-167).,20000.0,37.364,6,-0.4,1
115,Male,Bachelors,49000,154.51,7,My friends also agree that it is slow (Ref:115-630).,49000.0,22.072857142857142,9,-0.30000000000000004,1
116,Female,Bachelors,73000,650.78,18,"This is functional, you get what you pay for (Ref:116-982).",73000.0,36.154444444444444,10,0.0,2
117,Female,High School,"$53,000",882.39,20,"I thought the price was high, and I think it is as described (Ref:117-988).",53000.0,44.1195,14,0.16,2
118,Female,Bachelors,95000,287.92,6,I felt it was as it is (Ref:118-384).,95000.0,47.98666666666667,8,0.0,0
119,Female,Masters,"$76,000",837.84,22,"I thought the price was high, and I think it is a normal one (Ref:119-564).",76000.0,38.083636363636366,15,0.155,0
120,Male,High School,20000,687.9,16,"This is terrible, you get what you pay for (Ref:120-978).",20000.0,42.99375,10,-1.0,2
121,Male,Bachelors,37000,103.98,6,My experience with this: functional (Ref:121-814).,37000.0,17.330000000000002,6,0.0,1
122,Male,High School,20000,553.24,13,"This is as described, you get what you pay for (Ref:122-307).",20000.0,42.55692307692308,11,0.0,2
123,Male,Bachelors,143000,883.5,21,My experience with this: lovely (Ref:123-988).,143000.0,42.07142857142857,6,0.5,0
124,Male,Bachelors,"$104,000",775.5,24,I felt it was as it is (Ref:124-900).,104000.0,32.3125,8,0.0,0
125,Female,Bachelors,20000,50.0,2,I felt it was slow (Ref:125-508).,20000.0,25.0,6,-0.30000000000000004,1
126,Female,Bachelors,"$20,000",763.18,23,"This is amazing, you get what you pay for (Ref:126-452).",20000.0,33.18173913043478,10,0.6000000000000001,2
127,Female,Bachelors,"$20,000",374.83,11,My friends also agree that it is bad (Ref:127-410).,20000.0,34.07545454545454,9,-0.6999999999999998,1
128,Female,Bachelors,"$65,000",570.93,16,"I believe the price is reasonablen, the product: functional (Ref:128-509).",65000.0,35.683125,10,0.0,2
129,Male,Bachelors,66000,1045.58,23,I felt it was excellent (Ref:129-960).,66000.0,45.459999999999994,6,1.0,2
130,Male,Bachelors,20000,50.0,6,"I believe the price is reasonablen, the product: frustrating (Ref:130-269).",20000.0,8.333333333333334,10,-0.4,1
131,Female,Bachelors,20000,662.18,16,Just the facts: it is a normal one (Ref:131-930).,20000.0,41.38625,9,0.15,2
132,Other,Bachelors,"$20,000",680.52,17,My friends also agree that it is bad (Ref:132-451).,20000.0,40.03058823529412,9,-0.6999999999999998,2
133,Female,Bachelors,28000,495.18,11,I felt it was a normal one (Ref:133-771).,28000.0,45.016363636363636,8,0.15,2
134,Male,Bachelors,55000,280.21,9,My friends also agree that it is as it is (Ref:134-647).,55000.0,31.13444444444444,11,0.0,1
135,Female,Bachelors,"$102,000",298.4,6,My experience with this: terrible (Ref:135-437).,102000.0,49.73333333333333,6,-1.0,0
136,Male,High School,"$155,000",562.11,9,My opinion: it is great (Ref:136-389).,155000.0,62.45666666666667,6,0.8,0
137,Female,Bachelors,"$169,000",1104.86,24,Just the facts: it is frustrating (Ref:137-983).,169000.0,46.03583333333333,7,-0.4,0
138,Male,Masters,"$56,000",906.28,23,"I thought the price was high, and I think it is frustrating (Ref:138-465).",56000.0,39.40347826086956,13,-0.12000000000000001,2
139,Female,Masters,"$115,000",985.41,18,"I thought the price was high, and I think it is disappointing (Ref:139-497).",115000.0,54.745,13,-0.21999999999999997,0
140,Female,Masters,"$83,000",1227.98,24,Just the facts: it is terrible (Ref:140-101).,83000.0,51.16583333333333,7,-1.0,0
141,Female,High School,66000,742.47,20,"I thought the price was high, and I think it is the best (Ref:141-911).",66000.0,37.1235,14,0.58,2
142,Male,Bachelors,20000,326.87,4,My opinion: it is buggy (Ref:142-171).,20000.0,81.7175,6,0.0,1
143,Male,Bachelors,20000,865.03,21,My opinion: it is slow (Ref:143-563).,20000.0,41.19190476190476,6,-0.30000000000000004,2
144,Male,Bachelors,20000,50.0,2,"I thought the price was high, and I think it is frustrating (Ref:144-914).",20000.0,25.0,13,-0.12000000000000001,1
145,Male,Bachelors,"$119,000",951.47,24,Just the facts: it is average (Ref:145-755).,119000.0,39.64458333333334,7,-0.15,0
146,Male,Masters,20000,370.68,10,Just the facts: it is expensive (Ref:146-976).,20000.0,37.068,7,-0.5,1
147,Male,Bachelors,"$20,000",537.71,12,"This is slow, you get what you pay for (Ref:147-725).",20000.0,44.80916666666667,10,-0.30000000000000004,2
148,Female,Bachelors,"$20,000",812.89,22,"I thought the price was high, and I think it is lovely (Ref:148-408).",20000.0,36.94954545454545,13,0.33,2
149,Female,Bachelors,"$52,000",959.13,24,"I thought the price was high, and I think it is wonderful (Ref:149-232).",52000.0,39.96375,13,0.58,2
150,Male,Bachelors,"$20,000",128.48,9,"This is terrible, you get what you pay for (Ref:150-690).",20000.0,14.275555555555554,10,-1.0,1
151,Male,Masters,"$28,000",115.67,1,"I thought the price was high, and I think it is disappointing (Ref:151-893).",28000.0,115.67,13,-0.21999999999999997,1
152,Other,Masters,"$102,000",868.08,18,I felt it was a normal one (Ref:152-436).,102000.0,48.22666666666667,8,0.15,0
153,Female,Bachelors,144000,858.87,15,I felt it was average (Ref:153-284).,144000.0,57.258,6,-0.15,0
154,Male,Bachelors,"$119,000",1120.01,24,"This is excellent, you get what you pay for (Ref:154-680).",119000.0,46.66708333333333,10,1.0,0
155,Male,Bachelors,"$30,000",190.31,8,"This is as it is, you get what you pay for (Ref:155-224).",30000.0,23.78875,12,0.0,1
156,Female,Bachelors,"$118,000",1096.9,23,My experience with this: lovely (Ref:156-944).,118000.0,47.69130434782609,6,0.5,0
157,Male,Bachelors,28000,971.95,19,"I believe the price is reasonablen, the product: great (Ref:157-966).",28000.0,51.15526315789474,10,0.8,2
158,Female,Masters,"$54,000",528.05,19,"This is average, you get what you pay for (Ref:158-872).",54000.0,27.792105263157893,10,-0.15,2
159,Other,Bachelors,"$97,000",272.88,11,My opinion: it is as it is (Ref:159-641).,97000.0,24.80727272727273,8,0.0,0
160,Female,Masters,20000,128.41,1,"This is frustrating, you get what you pay for (Ref:160-406).",20000.0,128.41,10,-0.4,1
161,Male,Bachelors,82000,737.55,20,My experience with this: wonderful (Ref:161-428).,82000.0,36.8775,6,1.0,0
162,Female,High School,54000,609.96,11,"I believe the price is reasonablen, the product: the best (Ref:162-291).",54000.0,55.45090909090909,11,1.0,2
163,Female,Bachelors,"$44,000",170.96,3,My experience with this: frustrating (Ref:163-439).,44000.0,56.98666666666667,6,-0.4,1
164,Female,Bachelors,"$20,000",454.39,11,"I thought the price was high, and I think it is frustrating (Ref:164-715).",20000.0,41.308181818181815,13,-0.12000000000000001,1
165,Male,Bachelors,"$20,000",50.0,3,"This is as described, you get what you pay for (Ref:165-477).",20000.0,16.666666666666668,11,0.0,1
166,Male,Masters,20000,615.39,12,Just the facts: it is disappointing (Ref:166-499).,20000.0,51.2825,7,-0.6,2
167,Male,Bachelors,"$20,000",205.42,5,My experience with this: functional (Ref:167-377).,20000.0,41.083999999999996,6,0.0,1
168,Female,Bachelors,20000,639.41,7,"This is amazing, you get what you pay for (Ref:168-744).",20000.0,91.3442857142857,10,0.6000000000000001,2
169,Female,Bachelors,37000,533.85,7,"This is disappointing, you get what you pay for (Ref:169-377).",37000.0,76.26428571428572,10,-0.6,2
170,Female,High School,20000,67.95,3,My experience with this: buggy (Ref:170-580).,20000.0,22.650000000000002,6,0.0,1
171,Male,Bachelors,103000,514.1,13,"I believe the price is reasonablen, the product: as it is (Ref:171-623).",103000.0,39.54615384615385,12,0.0,0
172,Other,Bachelors,119000,320.78,5,"I believe the price is reasonablen, the product: slow (Ref:172-409).",119000.0,64.15599999999999,10,-0.30000000000000004,0
173,Female,Bachelors,22000,61.23,1,Just the facts: it is functional (Ref:173-763).,22000.0,61.23,7,0.0,1
174,Male,High School,"$48,000",50.0,3,Just the facts: it is slow (Ref:174-325).,48000.0,16.666666666666668,7,-0.30000000000000004,1
175,Female,Masters,135000,416.68,13,My experience with this: disappointing (Ref:175-497).,135000.0,32.05230769230769,6,-0.6,0
176,Female,Masters,80000,491.02,9,My friends also agree that it is bad (Ref:176-486).,80000.0,54.55777777777777,9,-0.6999999999999998,0
177,Female,Bachelors,63000,950.21,24,Just the facts: it is as it is (Ref:177-417).,63000.0,39.592083333333335,9,0.0,2
178,Male,Masters,"$20,000",870.12,16,My friends also agree that it is functional (Ref:178-202).,20000.0,54.3825,9,0.0,2
179,Male,Bachelors,57000,306.78,12,"I believe the price is reasonablen, the product: bad (Ref:179-662).",57000.0,25.564999999999998,10,-0.6999999999999998,1
180,Male,Masters,20000,470.42,16,My opinion: it is expensive (Ref:180-160).,20000.0,29.40125,6,-0.5,1
181,Female,Bachelors,"$20,000",806.55,20,My opinion: it is fantastic (Ref:181-826).,20000.0,40.3275,6,0.4,2
182,Male,Bachelors,"$103,000",792.79,22,My opinion: it is expensive (Ref:182-437).,103000.0,36.03590909090909,6,-0.5,0
183,Female,Bachelors,"$66,000",891.0,22,"I believe the price is reasonablen, the product: a normal one (Ref:183-553).",66000.0,40.5,12,0.15,2
184,Male,Bachelors,88000,492.83,16,"This is a normal one, you get what you pay for (Ref:184-694).",88000.0,30.801875,12,0.15,0
185,Male,Masters,"$20,000",831.73,16,I felt it was as it is (Ref:185-152).,20000.0,51.983125,8,0.0,2
186,Female,Bachelors,173000,1077.66,23,"This is average, you get what you pay for (Ref:186-953).",173000.0,46.85478260869566,10,-0.15,0
187,Male,Masters,"$75,000",784.92,20,"I believe the price is reasonablen, the product: terrible (Ref:187-551).",75000.0,39.245999999999995,10,-1.0,0
188,Female,Bachelors,"$20,000",753.91,19,My opinion: it is frustrating (Ref:188-252).,20000.0,39.67947368421053,6,-0.4,2
189,Female,Bachelors,20000,26.6,6,My friends also agree that it is average (Ref:189-540).,20000.0,4.433333333333334,9,-0.15,1
190,Female,Bachelors,31000,773.45,21,"This is slow, you get what you pay for (Ref:190-282).",31000.0,36.83095238095238,10,-0.30000000000000004,2
191,Male,Masters,"$20,000",261.08,7,My friends also agree that it is expensive (Ref:191-175).,20000.0,37.29714285714285,9,-0.5,1
192,Male,High School,"$71,000",878.59,20,I felt it was slow (Ref:192-447).,71000.0,43.929500000000004,6,-0.30000000000000004,2
193,Female,Masters,44000,513.26,11,My experience with this: average (Ref:193-836).,44000.0,46.66,6,-0.15,2
194,Female,Bachelors,29000,367.81,16,"This is functional, you get what you pay for (Ref:194-555).",29000.0,22.988125,10,0.0,1
195,Female,Masters,"$20,000",296.2,6,Just the facts: it is as it is (Ref:195-706).,20000.0,49.36666666666667,9,0.0,1
196,Female,Bachelors,"$77,000",547.06,12,My experience with this: lovely (Ref:196-294).,77000.0,45.58833333333333,6,0.5,0
197,Male,Bachelors,"$20,000",380.09,12,Just the facts: it is as it is (Ref:197-442).,20000.0,31.674166666666665,9,0.0,1
198,Male,Bachelors,20000,431.88,4,My friends also agree that it is bad (Ref:198-296).,20000.0,107.97,9,-0.6999999999999998,1
199,Female,Bachelors,79000,646.4,20,Just the facts: it is fantastic (Ref:199-173).,79000.0,32.32,7,0.4,0
200,Female,Masters,171000,943.01,21,My experience with this: buggy (Ref:200-205).,171000.0,44.9052380952381,6,0.0,0
201,Other,Masters,"$101,000",540.33,10,Just the facts: it is the best (Ref:201-145).,101000.0,54.033,8,1.0,0
202,Female,Bachelors,"$58,000",770.87,22,My opinion: it is buggy (Ref:202-120).,58000.0,35.039545454545454,6,0.0,2
203,Female,Bachelors,"$20,000",309.75,13,I felt it was disappointing (Ref:203-196).,20000.0,23.826923076923077,6,-0.6,1
204,Female,Bachelors,60000,110.33,4,Just the facts: it is disappointing (Ref:204-288).,60000.0,27.5825,7,-0.6,1
205,Male,Bachelors,"$85,000",885.35,17,"I thought the price was high, and I think it is bad (Ref:205-325).",85000.0,52.07941176470588,13,-0.2699999999999999,0
206,Female,Bachelors,20000,538.56,10,My friends also agree that it is excellent (Ref:206-140).,20000.0,53.855999999999995,9,1.0,2
207,Female,Bachelors,85000,807.32,21,Just the facts: it is as described (Ref:207-452).,85000.0,38.44380952380953,8,0.0,0
208,Female,Bachelors,66000,839.9,18,My experience with this: great (Ref:208-210).,66000.0,46.66111111111111,6,0.8,2
209,Female,Bachelors,82000,401.27,8,My friends also agree that it is disappointing (Ref:209-240).,82000.0,50.15875,9,-0.6,0
210,Female,Bachelors,"$65,000",685.86,17,Just the facts: it is slow (Ref:210-946).,65000.0,40.34470588235294,7,-0.30000000000000004,2
211,Male,Bachelors,"$72,000",765.05,22,"I believe the price is reasonablen, the product: average (Ref:211-127).",72000.0,34.775,10,-0.15,2
212,Other,Bachelors,"$119,000",810.7,16,Just the facts: it is lovely (Ref:212-496).,119000.0,50.66875,7,0.5,0
213,Male,High School,"$20,000",331.17,8,My experience with this: terrible (Ref:213-834).,20000.0,41.39625,6,-1.0,1
214,Male,Bachelors,55000,671.59,20,"This is as described, you get what you pay for (Ref:214-903).",55000.0,33.5795,11,0.0,2
215,Male,Bachelors,55000,74.74,4,My friends also agree that it is terrible (Ref:215-190).,55000.0,18.685,9,-1.0,1
